12772 0.01
-34.9226e-3 16.3032e-3 27.6875e-3
50.8648e-3 18.6516e-3 24.8831e-3
53.651e-3 16.9825e-3 27.4461e-3
38.7853e-3 2.93943e-3 219.988e-3
36.93e-3 3.46423e-3 215.87e-3
45.2498e-3 -0.008122e-3 213.18e-3
35.888e-3 3.5102e-3 211.872e-3
44.1166e-3 -0.914525e-3 203.518e-3
40.5559e-3 1.48727e-3 212.38e-3
-22.5177e-3 0.843443e-3 222.165e-3
31.9314e-3 5.49096e-3 220.258e-3
-8.66248e-3 15.3171e-3 47.9716e-3
-4.1019e-3 16.0106e-3 48.4207e-3
3.82119e-3 16.0727e-3 49.8026e-3
-9.88693e-3 1.95228e-3 191.967e-3
2.2017e-3 4.2785e-3 191.475e-3
0.32309e-3 14.7087e-3 52.2484e-3
-1.74363e-3 3.58935e-3 190.854e-3
-33.1553e-3 12.4861e-3 35.4689e-3
-37.5555e-3 6.17644e-3 41.3042e-3
-32.9023e-3 15.1292e-3 31.5151e-3
34.9637e-3 -0.364909e-3 73.8423e-3
34.5822e-3 1.43842e-3 69.5882e-3
54.0664e-3 17.0234e-3 23.0215e-3
57.1564e-3 15.2793e-3 25.914e-3
54.5923e-3 16.6415e-3 22.1543e-3
37.0274e-3 -107.268e-3 22.3579e-3
-34.9693e-3 16.8062e-3 22.7838e-3
-39.0968e-3 14.705e-3 23.7692e-3
-14.5882e-3 13.2989e-3 48.6066e-3
-20.4543e-3 -1.06611e-3 196.047e-3
-17.8763e-3 -1.11797e-3 191.587e-3
-22.0015e-3 -2.82255e-3 192.466e-3
-22.6845e-3 -0.333207e-3 205.021e-3
6.58417e-3 13.9019e-3 54.2359e-3
35.5025e-3 -2.12485e-3 78.0666e-3
-56.0614e-3 -78.9103e-3 22.1029e-3
-42.7988e-3 12.4443e-3 21.8875e-3
-39.6814e-3 14.1467e-3 21.9177e-3
-36.7086e-3 9.94055e-3 36.3582e-3
-61.8767e-3 -72.2401e-3 22.0178e-3
-51.8567e-3 5.87983e-3 21.891e-3
-52.6374e-3 -75.7921e-3 36.8326e-3
-39.8629e-3 7.35928e-3 37.3711e-3
-31.3366e-3 8.42512e-3 43.92e-3
-38.7568e-3 11.5442e-3 32.2882e-3
-4.6028e-3 12.485e-3 55.3376e-3
44.3933e-3 6.85276e-3 47.9691e-3
57.2285e-3 9.61588e-3 33.8549e-3
61.2223e-3 7.16766e-3 33.4485e-3
63.5807e-3 0.869554e-3 37.4095e-3
79.9453e-3 -75.2476e-3 22.2001e-3
-13.8607e-3 0.248759e-3 190.809e-3
-21.4918e-3 11.9498e-3 46.1862e-3
5.46997e-3 3.02713e-3 186.111e-3
-44.1535e-3 -87.0973e-3 35.857e-3
-11.0773e-3 12.4891e-3 52.3142e-3
9.11636e-3 11.398e-3 59.6336e-3
58.5911e-3 12.9385e-3 29.2872e-3
66.1052e-3 9.95082e-3 26.8647e-3
49.4835e-3 -7.83178e-3 188.692e-3
50.2132e-3 -2.91487e-3 212.753e-3
46.6765e-3 -0.604294e-3 224.203e-3
47.6362e-3 -1.08898e-3 228.191e-3
51.3196e-3 -3.33578e-3 224.211e-3
47.6488e-3 -2.73295e-3 209.551e-3
54.926e-3 -10.6982e-3 191.018e-3
39.7063e-3 1.34181e-3 208.391e-3
36.1506e-3 1.09077e-3 198.826e-3
41.7366e-3 -1.36022e-3 199.557e-3
46.8537e-3 -5.83649e-3 192.9e-3
36.5665e-3 -5.34968e-3 86.4401e-3
60.3612e-3 13.4977e-3 24.2224e-3
-2.58714e-3 2.23959e-3 187.037e-3
-39.9745e-3 13.5199e-3 28.0314e-3
-23.8654e-3 -1.88106e-3 200.118e-3
-28.5567e-3 -3.82481e-3 204.975e-3
-25.662e-3 -3.66776e-3 196.925e-3
37.6234e-3 3.6398e-3 61.064e-3
37.8837e-3 1.07913e-3 65.7346e-3
38.1263e-3 5.53635e-3 56.6959e-3
36.5933e-3 10.7992e-3 48.2265e-3
9.55954e-3 3.96644e-3 188.49e-3
5.94956e-3 9.94377e-3 63.0884e-3
4.00293e-3 11.421e-3 59.5793e-3
1.18957e-3 13.0552e-3 55.7935e-3
2.24832e-3 8.72203e-3 65.3523e-3
-1.93696e-3 11.1041e-3 59.0616e-3
51.6522e-3 1.123e-3 48.5397e-3
49.7143e-3 -0.514874e-3 52.8209e-3
-7.39339e-3 10.3424e-3 58.5494e-3
40.5746e-3 9.17604e-3 47.8498e-3
-47.0438e-3 -81.3576e-3 40.8895e-3
-30.4699e-3 -99.9114e-3 33.3247e-3
-18.6062e-3 -106.982e-3 22.2541e-3
-42.313e-3 -87.9286e-3 39.7144e-3
-17.985e-3 11.2809e-3 50.2083e-3
-15.1404e-3 10.8177e-3 53.1784e-3
36.1977e-3 -6.3257e-3 90.5512e-3
41.3692e-3 -8.33496e-3 174.528e-3
41.8684e-3 3.19172e-3 56.9346e-3
60.0947e-3 13.6424e-3 22.1131e-3
63.087e-3 11.9645e-3 22.11e-3
77.4263e-3 2.30651e-3 22.117e-3
71.8462e-3 6.47582e-3 22.2113e-3
72.8534e-3 -82.6062e-3 22.377e-3
69.422e-3 -8.83303e-3 40.4112e-3
-6.3241e-3 0.58135e-3 184.618e-3
-4.24757e-3 8.86245e-3 62.9911e-3
-12.2601e-3 9.83573e-3 56.9991e-3
-20.1009e-3 -3.1005e-3 188.488e-3
63.525e-3 8.60886e-3 30.4682e-3
1.48206e-3 1.52178e-3 182.794e-3
-44.6563e-3 11.4262e-3 22.2456e-3
-43.8017e-3 11.9434e-3 24.63e-3
-43.7828e-3 10.6476e-3 29.1893e-3
67.8255e-3 -3.15125e-3 37.3417e-3
68.4818e-3 -12.0573e-3 43.8866e-3
49.1075e-3 -152.7e-3 84.1466e-3
56.4116e-3 -2.00611e-3 47.2122e-3
71.9163e-3 -6.62351e-3 36.7781e-3
67.9956e-3 0.851411e-3 33.9967e-3
-42.2333e-3 3.99828e-3 39.9048e-3
-41.7659e-3 9.04529e-3 33.2642e-3
-46.6135e-3 3.60483e-3 36.2068e-3
-59.1728e-3 -61.1245e-3 40.4048e-3
-44.1991e-3 -84.9112e-3 41.8253e-3
-10.581e-3 -109.288e-3 33.4667e-3
10.2023e-3 6.71205e-3 70.8726e-3
-48.3599e-3 -81.5231e-3 36.8555e-3
-19.3133e-3 9.11707e-3 53.4722e-3
-22.3415e-3 9.86307e-3 49.5009e-3
-47.3477e-3 -79.1889e-3 44.8987e-3
9.04504e-3 8.22977e-3 67.1066e-3
55.5304e-3 -93.1406e-3 38.6072e-3
42.085e-3 4.96967e-3 53.2292e-3
45.3008e-3 -10.4013e-3 174.559e-3
39.9472e-3 -3.89679e-3 74.3573e-3
43.0991e-3 -1.7938e-3 64.5561e-3
39.2904e-3 -1.29192e-3 69.0095e-3
42.7099e-3 -6.12427e-3 185.065e-3
37.9815e-3 -12.4767e-3 114.876e-3
-30.9009e-3 -5.86794e-3 201.905e-3
-29.1863e-3 -5.66838e-3 197.821e-3
-27.3766e-3 -6.60078e-3 190.171e-3
66.0471e-3 10.1581e-3 22.7931e-3
34.0985e-3 3.38861e-3 65.3075e-3
-6.64556e-3 -110.29e-3 33.8351e-3
-2.79027e-3 -111.233e-3 29.2503e-3
3.06843e-3 -111.73e-3 22.1981e-3
51.4047e-3 -95.9784e-3 40.8693e-3
-6.76886e-3 -110.52e-3 29.719e-3
-6.9972e-3 -110.041e-3 38.0202e-3
-39.2823e-3 -91.5444e-3 39.0641e-3
-10.6781e-3 -109.581e-3 29.2851e-3
-41.0279e-3 -91.3587e-3 33.3784e-3
-50.9744e-3 -75.4393e-3 41.1409e-3
-11.5858e-3 -0.226896e-3 186.845e-3
-15.9961e-3 8.21913e-3 57.815e-3
3.50124e-3 4.24079e-3 76.5052e-3
1.03474e-3 6.29106e-3 70.6667e-3
40.7142e-3 -7.49275e-3 83.3054e-3
54.9012e-3 -15.1409e-3 178.643e-3
35.8089e-3 -9.18439e-3 102.788e-3
48.5471e-3 -14.8004e-3 167.638e-3
39.7523e-3 -8.50815e-3 88.7641e-3
46.1209e-3 2.05102e-3 53.4417e-3
53.3251e-3 -3.4549e-3 52.5851e-3
-7.09624e-3 6.61127e-3 66.5381e-3
-11.2635e-3 8.07473e-3 61.2214e-3
-25.32e-3 -6.60886e-3 186.105e-3
-49.5639e-3 -74.9644e-3 45.833e-3
-43.7903e-3 -84.4827e-3 45.8799e-3
-45.7061e-3 7.2699e-3 32.2088e-3
-49.4505e-3 8.07486e-3 21.9199e-3
-47.495e-3 9.57158e-3 22.6101e-3
69.5525e-3 7.99785e-3 22.3272e-3
72.3634e-3 -11.6207e-3 39.9541e-3
67.6151e-3 6.80864e-3 29.3805e-3
75.8899e-3 -10.0754e-3 36.2166e-3
-29.8388e-3 6.89343e-3 48.0296e-3
-52.3088e-3 -71.6952e-3 43.2608e-3
-15.7282e-3 -1.45192e-3 187.598e-3
-19.7254e-3 6.63111e-3 58.1774e-3
-23.1712e-3 7.73915e-3 52.8006e-3
-41.9505e-3 -92.6843e-3 22.2981e-3
-35.2231e-3 4.9145e-3 45.6635e-3
-28.12e-3 5.58988e-3 52.0556e-3
-50.1269e-3 7.73659e-3 25.0844e-3
-25.7426e-3 4.95915e-3 55.8324e-3
-24.1073e-3 3.80804e-3 59.8265e-3
-29.8987e-3 1.87458e-3 57.1508e-3
-32.0204e-3 -8.37183e-3 194.978e-3
-28.3152e-3 -9.40232e-3 183.302e-3
-31.9837e-3 2.6038e-3 53.2495e-3
4.79531e-3 7.31414e-3 69.0318e-3
-2.25592e-3 7.41693e-3 66.7838e-3
-48.9251e-3 -73.5112e-3 51.0416e-3
8.1365e-3 2.069e-3 182.709e-3
13.6571e-3 3.43259e-3 187.728e-3
-50.8163e-3 -71.3023e-3 47.911e-3
-41.6682e-3 -87.566e-3 44.4273e-3
-3.40093e-3 5.66502e-3 70.4679e-3
52.9926e-3 -93.5293e-3 45.0371e-3
-46.4283e-3 -78.3572e-3 51.6577e-3
50.5766e-3 -95.2113e-3 47.9796e-3
50.644e-3 -5.49726e-3 59.0099e-3
-45.1499e-3 -81.519e-3 48.8789e-3
-15.4937e-3 6.33593e-3 62.1209e-3
44.0437e-3 -0.415487e-3 60.0695e-3
-54.6401e-3 4.05012e-3 27.5911e-3
-51.0013e-3 5.97129e-3 28.7962e-3
-30.8786e-3 -8.67232e-3 191.084e-3
-34.1385e-3 -10.8382e-3 191.997e-3
-32.734e-3 -11.001e-3 188.04e-3
-53.16e-3 5.54477e-3 22.8282e-3
40.7563e-3 1.09429e-3 61.9339e-3
-6.20044e-3 3.9088e-3 73.3751e-3
-10.1439e-3 2.74831e-3 74.0909e-3
-12.0505e-3 5.62892e-3 65.8102e-3
-52.9873e-3 -60.6071e-3 53.9197e-3
48.5973e-3 -97.6169e-3 44.5017e-3
1.19857e-3 -111.927e-3 31.1821e-3
56.7303e-3 -90.8471e-3 42.0012e-3
50.2355e-3 -8.28685e-3 64.2842e-3
55.1947e-3 -10.5556e-3 59.3428e-3
48.0576e-3 -5.11545e-3 62.559e-3
28.3539e-3 6.11403e-3 63.8329e-3
70.3783e-3 3.52236e-3 30.4443e-3
71.9268e-3 6.39249e-3 25.3141e-3
75.0444e-3 4.05338e-3 26.5395e-3
52.8923e-3 -4.29607e-3 227.988e-3
57.1613e-3 -7.34049e-3 224.174e-3
49.2349e-3 -2.32547e-3 220.435e-3
38.9794e-3 2.35892e-3 232.713e-3
50.445e-3 -6.09957e-3 200.751e-3
55.6597e-3 -9.46698e-3 201.497e-3
51.9958e-3 -11.2319e-3 186.182e-3
43.3175e-3 -16.9983e-3 123.152e-3
7.80189e-3 3.88524e-3 78.3985e-3
9.89113e-3 5.14772e-3 74.9593e-3
4.82414e-3 5.80543e-3 72.7557e-3
-34.0864e-3 3.4129e-3 49.3948e-3
-52.991e-3 -67.896e-3 46.6091e-3
-10.0393e-3 -0.969123e-3 183.027e-3
-54.0065e-3 -54.165e-3 54.9605e-3
-47.8851e-3 -73.9119e-3 55.1777e-3
-50.9688e-3 -63.6523e-3 57.2887e-3
44.0784e-3 -7.11438e-3 74.2374e-3
16.6444e-3 8.9673e-3 219.699e-3
3.94943e-3 9.05824e-3 221.492e-3
8.04069e-3 9.31223e-3 221.075e-3
11.2645e-3 9.2625e-3 216.232e-3
12.4318e-3 9.28979e-3 220.46e-3
15.2275e-3 8.92426e-3 224.501e-3
10.7955e-3 9.11464e-3 225.217e-3
3.78479e-3 8.67671e-3 227.898e-3
7.00679e-3 9.23287e-3 216.214e-3
10.1062e-3 8.63357e-3 229.671e-3
15.0228e-3 8.48948e-3 228.914e-3
21.1312e-3 8.30994e-3 219.444e-3
-18.7702e-3 2.78835e-3 214.77e-3
-9.23298e-3 6.60566e-3 217.808e-3
-6.86807e-3 7.17183e-3 213.381e-3
-2.92624e-3 8.07519e-3 213.389e-3
-4.01077e-3 7.98396e-3 217.933e-3
0.383556e-3 8.78708e-3 218.004e-3
-13.4716e-3 4.97796e-3 223.242e-3
-6.65442e-3 7.20356e-3 222.523e-3
-16.3384e-3 3.97461e-3 218.973e-3
-14.4687e-3 4.4068e-3 210.646e-3
1.19019e-3 8.74649e-3 213.371e-3
-11.6943e-3 5.71375e-3 213.338e-3
-23.7018e-3 0.119531e-3 214.992e-3
-18.0905e-3 3.05458e-3 222.736e-3
-9.87439e-3 5.89194e-3 227.245e-3
-1.90705e-3 8.28124e-3 222.73e-3
59.2119e-3 -21.9144e-3 66.3721e-3
-12.3538e-3 -108.596e-3 43.6533e-3
59.9394e-3 -19.8921e-3 62.6814e-3
-0.785959e-3 8.09679e-3 227.709e-3
-5.28013e-3 7.17668e-3 227.44e-3
-14.4735e-3 4.24629e-3 227.167e-3
12.4255e-3 7.92311e-3 233.581e-3
-2.50215e-3 7.18294e-3 232.106e-3
1.93333e-3 7.87739e-3 232.321e-3
-54.5967e-3 -71.1358e-3 39.1094e-3
-49.9431e-3 -82.2104e-3 32.3051e-3
-56.3219e-3 -63.4424e-3 43.5548e-3
-33.0518e-3 -0.598536e-3 58.0667e-3
-36.5577e-3 -1.56845e-3 55.3388e-3
-38.3925e-3 2.25897e-3 46.561e-3
19.9359e-3 8.40639e-3 223.561e-3
19.6121e-3 8.06485e-3 228.044e-3
24.0512e-3 7.66333e-3 222.574e-3
33.6956e-3 5.49226e-3 60.9756e-3
46.006e-3 -6.52016e-3 68.7648e-3
-51.3389e-3 -67.3538e-3 52.2418e-3
-52.2941e-3 -55.7307e-3 59.2326e-3
-10.7304e-3 4.20587e-3 69.9092e-3
-2.28311e-3 0.352396e-3 181.162e-3
-2.1981e-3 4.3003e-3 74.2704e-3
54.6312e-3 -12.4835e-3 63.208e-3
3.75676e-3 2.87085e-3 80.2627e-3
1.9592e-3 1.36405e-3 84.0428e-3
5.90401e-3 8.22748e-3 232.718e-3
8.79597e-3 7.53413e-3 235.983e-3
-1.03517e-3 6.7713e-3 236.135e-3
-6.59151e-3 6.2897e-3 231.848e-3
3.31929e-3 7.33255e-3 236.318e-3
11.3689e-3 6.77917e-3 240.391e-3
49.439e-3 -11.658e-3 180.307e-3
48.9798e-3 -14.1266e-3 172.848e-3
42.3044e-3 -13.0731e-3 97.8382e-3
43.0975e-3 -11.7651e-3 90.5249e-3
38.567e-3 -9.73774e-3 96.0219e-3
39.4951e-3 -14.0052e-3 118.938e-3
33.0664e-3 -2.84331e-3 83.3122e-3
31.1893e-3 -4.16509e-3 90.455e-3
45.5534e-3 -11.7666e-3 83.1891e-3
42.8409e-3 -3.82533e-3 68.9037e-3
16.6714e-3 7.72595e-3 232.887e-3
28.0426e-3 6.68245e-3 221.469e-3
23.6257e-3 7.45211e-3 227.145e-3
28.3298e-3 6.38823e-3 225.895e-3
-10.6514e-3 5.11688e-3 231.525e-3
-14.843e-3 3.62991e-3 231.127e-3
-28.1221e-3 -1.03441e-3 65.3865e-3
-49.0878e-3 -67.649e-3 60.4363e-3
52.7421e-3 -13.5229e-3 68.3396e-3
12.766e-3 3.63581e-3 78.8766e-3
9.77523e-3 2.56856e-3 82.2213e-3
12.2729e-3 -0.795115e-3 93.7873e-3
